delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.95;0.01;0.1;4416;636;299;72;-1.0;{O_SELECTED=0.1939978563772776, W_Nabellen offertes=0.15862808145766344, W_Completeren aanvraag=0.13933547695605572, A_FINALIZED=0.10182207931404073, O_SENT=0.09217577706323687, A_DECLINED=0.09003215434083602, O_DECLINED=0.04715969989281887, A_CANCELLED=0.04287245444801715, W_Afhandelen leads=0.028938906752411574, W_Valideren aanvraag=0.022508038585209004, A_PREACCEPTED=0.01929260450160772, O_CANCELLED=0.01822079314040729, A_APPROVED=0.013933547695605574, A_REGISTERED=0.007502679528403001, O_ACCEPTED=0.007502679528403001, A_ACCEPTED=0.004287245444801715, W_Nabellen incomplete dossiers=0.004287245444801715, A_ACTIVATED=0.003215434083601286, O_CREATED=0.003215434083601286, O_SENT_BACK=0.0010718113612004287};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;3944;612;293;80;-1.0;{O_SELECTED=0.19823788546255505, W_Nabellen offertes=0.17290748898678415, W_Completeren aanvraag=0.1222466960352423, A_FINALIZED=0.11123348017621146, A_DECLINED=0.09361233480176212, O_SENT=0.08700440528634361, A_CANCELLED=0.04955947136563876, O_DECLINED=0.04405286343612335, O_CANCELLED=0.024229074889867842, W_Afhandelen leads=0.024229074889867842, A_PREACCEPTED=0.016519823788546256, A_ACTIVATED=0.00881057268722467, A_REGISTERED=0.00881057268722467, A_ACCEPTED=0.00881057268722467, O_ACCEPTED=0.007709251101321586, W_Valideren aanvraag=0.006607929515418502, O_CREATED=0.005506607929515419, O_SENT_BACK=0.004405286343612335, W_Beoordelen fraude=0.003303964757709251, A_APPROVED=0.0022026431718061676};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;9253;681;332;95;-1.0;{O_SELECTED=0.18618365627632688, W_Completeren aanvraag=0.16933445661331087, W_Nabellen offertes=0.14321819713563605, A_FINALIZED=0.09435551811288964, O_SENT=0.08508845829823083, A_DECLINED=0.07834877843302443, W_Afhandelen leads=0.04549283909014322, O_DECLINED=0.04465037910699242, A_CANCELLED=0.03285593934288121, O_CANCELLED=0.02358887952822241, A_PREACCEPTED=0.02106149957877001, A_REGISTERED=0.016849199663016005, A_APPROVED=0.011794439764111205, W_Valideren aanvraag=0.010951979780960405, W_Nabellen incomplete dossiers=0.008424599831508003, W_Beoordelen fraude=0.007582139848357203, O_SENT_BACK=0.005054759898904802, O_ACCEPTED=0.005054759898904802, A_ACCEPTED=0.004212299915754001, A_ACTIVATED=0.003369839932603201, O_CREATED=0.002527379949452401};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;5387;627;304;77;-1.0;{O_SELECTED=0.18664047151277013, W_Nabellen offertes=0.15225933202357564, W_Completeren aanvraag=0.14833005893909626, A_FINALIZED=0.09921414538310412, A_DECLINED=0.09332023575638507, O_SENT=0.08742632612966601, O_DECLINED=0.055992141453831044, A_CANCELLED=0.04518664047151277, W_Afhandelen leads=0.0343811394891945, O_CANCELLED=0.03339882121807466, A_PREACCEPTED=0.025540275049115914, W_Valideren aanvraag=0.009823182711198428, O_SENT_BACK=0.0068762278978389, O_ACCEPTED=0.0068762278978389, A_REGISTERED=0.005893909626719057, A_ACCEPTED=0.0029469548133595285, W_Beoordelen fraude=0.0029469548133595285, A_ACTIVATED=0.0019646365422396855, O_CREATED=9.823182711198428E-4};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;5406;667;319;94;-1.0;{O_SELECTED=0.19872379216043756, W_Nabellen offertes=0.1731996353691887, W_Completeren aanvraag=0.14585232452142205, A_FINALIZED=0.12306289881494986, A_DECLINED=0.08113035551504102, O_SENT=0.06289881494986327, A_CANCELLED=0.03646308113035551, O_DECLINED=0.03463992707383774, W_Afhandelen leads=0.02187784867821331, O_CANCELLED=0.020966271649954422, A_PREACCEPTED=0.020966271649954422, A_APPROVED=0.016408386508659983, W_Valideren aanvraag=0.014585232452142206, W_Beoordelen fraude=0.010938924339106655, A_REGISTERED=0.009115770282588878, A_ACTIVATED=0.0054694621695533276, W_Nabellen incomplete dossiers=0.0054694621695533276, O_CREATED=0.0054694621695533276, O_SENT_BACK=0.004557885141294439, A_ACCEPTED=0.004557885141294439, O_ACCEPTED=0.0036463081130355514};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;5093;625;304;97;-1.0;{O_SELECTED=0.1842870999030068, W_Nabellen offertes=0.15227934044616878, W_Completeren aanvraag=0.14645974781765275, A_FINALIZED=0.10281280310378274, A_DECLINED=0.0863239573229874, O_SENT=0.06789524733268672, O_DECLINED=0.04849660523763336, A_CANCELLED=0.04655674102812803, W_Afhandelen leads=0.03297769156159069, O_CANCELLED=0.02230843840931135, A_PREACCEPTED=0.02230843840931135, A_ACTIVATED=0.015518913676042677, A_APPROVED=0.013579049466537343, A_REGISTERED=0.013579049466537343, W_Nabellen incomplete dossiers=0.009699321047526674, W_Valideren aanvraag=0.007759456838021339, O_ACCEPTED=0.007759456838021339, W_Beoordelen fraude=0.007759456838021339, O_SENT_BACK=0.004849660523763337, A_ACCEPTED=0.004849660523763337, O_CREATED=0.0019398642095053346};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;6222;618;298;75;-1.0;{O_SELECTED=0.19323144104803494, W_Nabellen offertes=0.16593886462882096, W_Completeren aanvraag=0.14519650655021835, O_SENT=0.09170305676855896, A_FINALIZED=0.08842794759825327, A_DECLINED=0.08078602620087336, O_DECLINED=0.04148471615720524, A_CANCELLED=0.03820960698689956, O_CANCELLED=0.03056768558951965, W_Afhandelen leads=0.027292576419213975, A_PREACCEPTED=0.027292576419213975, W_Valideren aanvraag=0.015283842794759825, A_APPROVED=0.008733624454148471, O_SENT_BACK=0.008733624454148471, A_ACTIVATED=0.006550218340611353, O_ACCEPTED=0.006550218340611353, W_Nabellen incomplete dossiers=0.006550218340611353, A_ACCEPTED=0.0054585152838427945, W_Beoordelen fraude=0.0054585152838427945, O_CREATED=0.004366812227074236, A_REGISTERED=0.002183406113537118};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;6665;606;294;72;-1.0;{O_SELECTED=0.20801733477789816, W_Nabellen offertes=0.14842903575297942, W_Completeren aanvraag=0.1180931744312026, A_FINALIZED=0.10292524377031419, O_SENT=0.09209100758396534, A_DECLINED=0.09100758396533044, O_DECLINED=0.04983748645720477, W_Afhandelen leads=0.032502708559046585, A_CANCELLED=0.027085590465872156, W_Valideren aanvraag=0.018418201516793065, A_ACTIVATED=0.01733477789815818, O_CANCELLED=0.01733477789815818, A_PREACCEPTED=0.01733477789815818, W_Nabellen incomplete dossiers=0.014084507042253521, A_APPROVED=0.00866738894907909, A_REGISTERED=0.00866738894907909, O_ACCEPTED=0.00866738894907909, W_Beoordelen fraude=0.0065005417118093175, O_SENT_BACK=0.005417118093174431, W_Wijzigen contractgegevens=0.0032502708559046588, A_ACCEPTED=0.0021668472372697724, O_CREATED=0.0021668472372697724};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;6333;667;306;78;-1.0;{O_SELECTED=0.19056261343012704, W_Nabellen offertes=0.16787658802177857, W_Completeren aanvraag=0.14065335753176045, A_FINALIZED=0.11705989110707804, O_SENT=0.08439201451905626, A_DECLINED=0.0780399274047187, A_CANCELLED=0.04083484573502722, O_DECLINED=0.03720508166969147, O_CANCELLED=0.029945553539019964, W_Afhandelen leads=0.02722323049001815, A_PREACCEPTED=0.022686025408348458, A_APPROVED=0.008166969147005444, A_REGISTERED=0.008166969147005444, W_Valideren aanvraag=0.008166969147005444, W_Beoordelen fraude=0.007259528130671506, O_SENT_BACK=0.006352087114337568, O_ACCEPTED=0.006352087114337568, W_Nabellen incomplete dossiers=0.006352087114337568, A_ACCEPTED=0.0054446460980036296, A_ACTIVATED=0.004537205081669692, O_CREATED=0.0027223230490018148};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;5007;602;306;79;-1.0;{O_SELECTED=0.19616204690831557, W_Nabellen offertes=0.14498933901918976, W_Completeren aanvraag=0.1279317697228145, A_FINALIZED=0.09594882729211088, O_SENT=0.08742004264392324, A_DECLINED=0.07889125799573561, O_DECLINED=0.04797441364605544, A_CANCELLED=0.042643923240938165, O_CANCELLED=0.039445628997867806, A_PREACCEPTED=0.023454157782515993, W_Valideren aanvraag=0.02025586353944563, O_ACCEPTED=0.019189765458422176, W_Afhandelen leads=0.015991471215351813, A_ACTIVATED=0.01279317697228145, A_REGISTERED=0.01279317697228145, A_APPROVED=0.010660980810234541, O_SENT_BACK=0.006396588486140725, O_CREATED=0.005330490405117271, A_ACCEPTED=0.0042643923240938165, W_Nabellen incomplete dossiers=0.0042643923240938165, W_Beoordelen fraude=0.0031982942430703624};NONALIGNING_ALL;{}
