Traces	 Fitness	 Time	 Fitness Error	 True Fitness
855	0.84479173151816	4068	0.094885935918258	0.949677667436418
1062	0.840233765975745	7001	0.088443901460673	0.949677667436418
991	0.832168125411593	4506	0.090509542024826	0.949677667436418
1296	0.835006041814179	8793	0.100671625622239	0.949677667436418
924	0.821683891195182	4916	0.107993776241236	0.949677667436418
1416	0.833932061840109	6442	0.112545605596309	0.949677667436418
920	0.850736892062742	5307	0.091990775373676	0.949677667436418
1143	0.839704011651226	7654	0.089973655785192	0.949677667436418
874	0.861082506510258	5368	0.08859516092616	0.949677667436418
1096	0.844219427560276	8390	0.093858239876143	0.949677667436418
