log; delta; alpha; epsilon; approximated; quality checker; significance; dfDistrib; dep measure; attrib; sample size; times triggered; fitness; time; distToOriginal; fitnessAtFirst; distToOrigAtFirst; original; df repr.; dep measure repr.; attribute repr.; 
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;false;false;673;0;0,8160125041261904;13019;0.005509872399209;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;false;false;676;0;0,8136258604565025;11557;0.003123228729522;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;false;false;676;0;0,8189410425909961;18073;0.008438410864015;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;false;false;700;0;0,8170190315807238;12442;0.006516399853743;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;false;false;680;0;0,8047280023696504;11033;0.005774629357331;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;false;false;677;0;0,8110171432409502;14559;5.15E-04;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;false;false;686;0;0,8113302953278188;13810;8.28E-04;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;false;false;674;0;0,8148904067746356;13749;0.004387775047655;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;false;false;672;0;0,8137768628962363;8593;0.003274231169255;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;false;false;679;0;0,8101036750313224;12149;3.99E-04;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;true;false;false;837;27;0,8104721397932385;17623;3.05E-05;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;true;false;false;719;30;0,8141724145878708;11418;0.00366978286089;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;true;false;false;874;24;0,8190317198108074;27459;0.008529088083826;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;true;false;false;709;25;0,8164691675836215;12142;0.005966535856641;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;true;false;false;719;32;0,8064216353957777;12809;0.004080996331203;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;true;false;false;800;26;0,8132260982583833;15050;0.002723466531402;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;true;false;false;738;31;0,8132633698581824;21303;0.002760738131201;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;true;false;false;674;32;0,815884884189736;15073;0.005382252462755;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;true;false;false;742;31;0,8105233635130125;12530;2.07E-05;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;true;false;false;710;32;0,807688861863708;13474;0.002813769863273;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;true;false;720;18;0,8143607079466106;11363;0.00385807621963;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;true;false;678;19;0,8145193338080823;10061;0.004016702081101;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;true;false;687;12;0,8191519466005587;10894;0.008649314873578;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;true;false;704;14;0,8175394628060093;12408;0.007036831079028;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;true;false;708;16;0,8076666054901225;11906;0.002836026236859;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;true;false;694;19;0,8097269638858214;14653;7.76E-04;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;true;false;684;16;0,812969309143769;16712;0.002466677416788;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;true;false;677;17;0,8147576678946253;16003;0.004255036167644;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;true;false;704;17;0,8143638125146833;8515;0.003861180787702;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;true;false;728;11;0,8081297305298831;13214;0.002372901197098;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;false;true;923;94;0,8191284824124949;18776;0.008625850685514;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;false;true;850;92;0,8099616746038468;13911;5.41E-04;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;false;true;844;88;0,8179308846978375;20591;0.007428252970856;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;false;true;800;82;0,8146994790532753;13228;0.004196847326294;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;false;true;919;90;0,8086625561724889;18265;0.001840075554492;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;false;true;1006;86;0,8079026806731451;21758;0.002599951053836;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;false;true;838;93;0,8090491962884077;19219;0.001453435438573;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;false;true;878;89;0,8143881371276742;23720;0.003885505400693;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;false;true;753;90;0,8164190788094078;9406;0.005916447082427;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;false;true;826;86;0,8096922549205442;15644;8.10E-04;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;true;false;true;917;97;0,8129374141323095;20640;0.002434782405328;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;true;false;true;829;88;0,8134440045021012;12152;0.00294137277512;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;true;false;true;874;88;0,8199336566818746;18548;0.009431024954894;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;true;false;true;801;82;0,8162947354519182;14918;0.005792103724937;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;true;false;true;919;88;0,8104595868488242;16822;4.30E-05;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;true;false;true;772;87;0,8093648967338869;16040;0.001137734993094;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;true;false;true;837;90;0,8113103884469475;28096;8.08E-04;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;true;false;true;873;92;0,8126625661620499;22835;0.002159934435069;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;true;false;true;798;90;0,8115782845404461;10783;0.001075652813465;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;true;false;true;829;93;0,8082795107551194;15075;0.002223120971862;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;true;true;926;95;0,8110282351913645;15950;5.26E-04;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;true;true;809;86;0,8120041064466192;14436;0.001501474719638;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;true;true;827;89;0,8168411049038546;19425;0.006338473176874;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;true;true;804;88;0,8113100381322232;15142;8.07E-04;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;true;true;919;87;0,8102117056666028;15502;2.91E-04;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;true;true;971;85;0,8071264483470687;21755;0.003376183379912;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;true;true;790;90;0,8128831468800488;27547;0.002380515153068;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;true;true;873;86;0,8164229046892323;20426;0.005920272962251;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;true;true;904;87;0,8153643804565794;14251;0.004861748729598;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;internal;--;false;true;true;829;91;0,8062254312934313;17590;0.00427720043355;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;true;internal;--;false;true;true;929;96;0,7588384693803483;18944;0.051664162346633;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;true;internal;--;false;true;true;808;84;0,7664544957972484;16793;0.044048135929733;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;true;internal;--;false;true;true;792;87;0,778848370501941;25875;0.03165426122504;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;true;internal;--;false;true;true;932;93;0,7744695170168459;17896;0.036033114710135;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;true;internal;--;false;true;true;919;92;0,7515680381859358;18194;0.058934593541045;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;true;internal;--;false;true;true;812;90;0,7711430881097261;15632;0.039359543617255;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;true;internal;--;false;true;true;882;93;0,7682172047605301;27833;0.042285426966451;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;true;internal;--;false;true;true;873;93;0,7752633424070694;19236;0.035239289319912;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;true;internal;--;false;true;true;780;85;0,7747955469919766;12893;0.035707084735004;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;true;internal;--;false;true;true;709;85;0,7547209670328101;16464;0.055781664694171;--;--;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;external;0,05;true;false;false;672;0;0,811939835191921;13981;0.00143720346494;0,0;0.810502631726981;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;external;0,05;true;false;false;686;0;0,8138774317887443;11083;0.003374800061763;0,0;0.810502631726981;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;external;0,05;true;false;false;678;0;0,8186628559305211;16216;0.00816022420354;0,0;0.810502631726981;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;external;0,05;true;false;false;1357;1;0,8118578764685502;27676;0.001355244741569;0,8144691181896583;0.003966486462677;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;external;0,05;true;false;false;680;0;0,8052304388420475;15841;0.005272192884934;0,0;0.810502631726981;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;external;0,05;true;false;false;677;0;0,8107466629367714;13484;2.44E-04;0,0;0.810502631726981;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;external;0,05;true;false;false;685;0;0,8114504305254193;19336;9.48E-04;0,0;0.810502631726981;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;external;0,05;true;false;false;1993;2;0,8136275305994158;49848;0.003124898872435;0,8154268601251385;0.004924228398158;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;external;0,05;true;false;false;675;0;0,8121972754800351;9361;0.001694643753054;0,0;0.810502631726981;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
Detail_Incident_Activity;0,01;0,99;0,01;false;external;0,05;true;false;false;676;0;0,8082827517850305;12574;0.002219879941951;0,0;0.810502631726981;0,810502631726981;0,01420417364414683;0,08185748098353626;0,004663495307222561;
