delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.95;0.01;0.1;83;481;43;5;-1.0;{Add penalty+complete=0.8, Send Appeal to Prefecture+complete=0.1, Insert Date Appeal to Prefecture+complete=0.05, Insert Fine Notification+complete=0.05};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;551;656;45;6;-1.0;{Add penalty+complete=0.9, Insert Date Appeal to Prefecture+complete=0.1};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;59;268;32;5;-1.0;{};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;751;877;39;5;-1.0;{Add penalty+complete=0.8461538461538461, Insert Date Appeal to Prefecture+complete=0.038461538461538464, Insert Fine Notification+complete=0.038461538461538464, Send Appeal to Prefecture+complete=0.038461538461538464, Receive Result Appeal from Prefecture+complete=0.038461538461538464};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;747;732;49;4;-1.0;{Add penalty+complete=0.8709677419354839, Send Appeal to Prefecture+complete=0.06451612903225806, Payment+complete=0.03225806451612903, Insert Fine Notification+complete=0.03225806451612903};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;80;452;47;5;-1.0;{Add penalty+complete=0.9230769230769231, Insert Fine Notification+complete=0.07692307692307693};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;868;979;40;2;-1.0;{Add penalty+complete=0.8518518518518519, Payment+complete=0.037037037037037035, Insert Fine Notification+complete=0.037037037037037035, Notify Result Appeal to Offender+complete=0.037037037037037035, Receive Result Appeal from Prefecture+complete=0.037037037037037035};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;20;268;36;3;-1.0;{};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;17;268;31;7;-1.0;{};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;580;726;49;5;-1.0;{Add penalty+complete=1.0};NONALIGNING_ALL;{}
