delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.01;0.95;0.01;0.1;3114;390;204;34;28;-1.0;{A_CANCELLED=0.03296703296703297, A_DECLINED=0.1043956043956044, A_APPROVED=0.003663003663003663, A_FINALIZED=0.1043956043956044, A_ACTIVATED=0.007326007326007326, O_DECLINED=0.04395604395604396, A_REGISTERED=0.007326007326007326, W_Nabellen offertes=0.13553113553113552, W_Wijzigen contractgegevens=0.005494505494505495, O_SELECTED=0.22893772893772893, O_SENT_BACK=0.003663003663003663, W_Valideren aanvraag=0.003663003663003663, O_ACCEPTED=0.014652014652014652, O_CANCELLED=0.016483516483516484, W_Completeren aanvraag=0.11355311355311355, O_SENT=0.11355311355311355, A_PREACCEPTED=0.020146520146520148, W_Beoordelen fraude=0.029304029304029304, A_ACCEPTED=0.003663003663003663, W_Nabellen incomplete dossiers=0.003663003663003663, O_CREATED=0.003663003663003663};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;3581;389;194;30;26;-1.0;{A_CANCELLED=0.034220532319391636, A_DECLINED=0.09885931558935361, A_APPROVED=0.0076045627376425855, A_FINALIZED=0.12547528517110265, O_DECLINED=0.04752851711026616, A_REGISTERED=0.011406844106463879, W_Nabellen offertes=0.15019011406844107, O_SELECTED=0.22433460076045628, O_SENT_BACK=0.0019011406844106464, O_ACCEPTED=0.0076045627376425855, O_CANCELLED=0.02091254752851711, W_Afhandelen leads=0.013307984790874524, W_Completeren aanvraag=0.11977186311787072, O_SENT=0.09505703422053231, A_PREACCEPTED=0.026615969581749048, A_ACCEPTED=0.0076045627376425855, W_Nabellen incomplete dossiers=0.0038022813688212928, O_CREATED=0.0038022813688212928};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;3413;390;192;26;26;-1.0;{A_CANCELLED=0.030737704918032786, A_DECLINED=0.09836065573770492, A_FINALIZED=0.11270491803278689, A_ACTIVATED=0.004098360655737705, O_DECLINED=0.04918032786885246, W_Nabellen offertes=0.14754098360655737, O_SELECTED=0.22131147540983606, O_SENT_BACK=0.004098360655737705, O_ACCEPTED=0.004098360655737705, O_CANCELLED=0.02663934426229508, W_Afhandelen leads=0.010245901639344262, W_Completeren aanvraag=0.13319672131147542, O_SENT=0.10860655737704918, A_PREACCEPTED=0.020491803278688523, A_ACCEPTED=0.006147540983606557, W_Beoordelen fraude=0.006147540983606557, W_Nabellen incomplete dossiers=0.004098360655737705, O_CREATED=0.012295081967213115};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;3457;386;199;27;19;-1.0;{A_CANCELLED=0.046218487394957986, A_DECLINED=0.10294117647058823, A_APPROVED=0.01680672268907563, A_FINALIZED=0.10504201680672269, O_DECLINED=0.05042016806722689, A_REGISTERED=0.008403361344537815, W_Nabellen offertes=0.13655462184873948, W_Wijzigen contractgegevens=0.0063025210084033615, O_SELECTED=0.23319327731092437, O_SENT_BACK=0.0021008403361344537, W_Valideren aanvraag=0.008403361344537815, O_ACCEPTED=0.004201680672268907, O_CANCELLED=0.023109243697478993, W_Afhandelen leads=0.023109243697478993, W_Completeren aanvraag=0.09453781512605042, O_SENT=0.11554621848739496, A_PREACCEPTED=0.012605042016806723, A_ACCEPTED=0.0063025210084033615, O_CREATED=0.004201680672268907};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;2751;387;183;26;27;-1.0;{A_CANCELLED=0.04491725768321513, A_DECLINED=0.08274231678486997, A_APPROVED=0.004728132387706856, A_FINALIZED=0.12529550827423167, O_DECLINED=0.03546099290780142, W_Nabellen offertes=0.13711583924349882, W_Wijzigen contractgegevens=0.002364066193853428, O_SELECTED=0.2293144208037825, O_SENT_BACK=0.004728132387706856, W_Valideren aanvraag=0.002364066193853428, O_CANCELLED=0.014184397163120567, W_Afhandelen leads=0.0070921985815602835, W_Completeren aanvraag=0.1347517730496454, O_SENT=0.09929078014184398, A_PREACCEPTED=0.02364066193853428, W_Beoordelen fraude=0.0425531914893617, A_ACCEPTED=0.0070921985815602835, O_CREATED=0.002364066193853428};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;3233;389;205;29;34;-1.0;{A_CANCELLED=0.024299065420560748, A_DECLINED=0.09345794392523364, A_APPROVED=0.011214953271028037, A_FINALIZED=0.1233644859813084, A_ACTIVATED=0.003738317757009346, O_DECLINED=0.048598130841121495, A_REGISTERED=0.003738317757009346, W_Nabellen offertes=0.15140186915887852, O_SELECTED=0.2523364485981308, O_SENT_BACK=0.003738317757009346, W_Valideren aanvraag=0.003738317757009346, O_CANCELLED=0.022429906542056073, W_Afhandelen leads=0.018691588785046728, W_Completeren aanvraag=0.09158878504672897, O_SENT=0.12149532710280374, A_PREACCEPTED=0.013084112149532711, A_ACCEPTED=0.003738317757009346, W_Nabellen incomplete dossiers=0.007476635514018692, O_CREATED=0.001869158878504673};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;2858;388;188;24;33;-1.0;{A_CANCELLED=0.0430327868852459, A_DECLINED=0.0942622950819672, A_FINALIZED=0.1168032786885246, O_DECLINED=0.0430327868852459, A_REGISTERED=0.004098360655737705, W_Nabellen offertes=0.14344262295081966, O_SELECTED=0.22950819672131148, O_SENT_BACK=0.00819672131147541, W_Valideren aanvraag=0.012295081967213115, O_ACCEPTED=0.004098360655737705, O_CANCELLED=0.01639344262295082, W_Afhandelen leads=0.006147540983606557, W_Completeren aanvraag=0.13729508196721313, O_SENT=0.10860655737704918, A_PREACCEPTED=0.02663934426229508, A_ACCEPTED=0.004098360655737705, O_CREATED=0.0020491803278688526};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;2737;389;208;33;33;-1.0;{A_CANCELLED=0.04251012145748988, A_DECLINED=0.11133603238866396, A_APPROVED=0.004048582995951417, A_FINALIZED=0.13157894736842105, A_ACTIVATED=0.012145748987854251, O_DECLINED=0.06072874493927125, W_Nabellen offertes=0.15182186234817813, O_SELECTED=0.22469635627530365, O_SENT_BACK=0.006072874493927126, O_ACCEPTED=0.004048582995951417, O_CANCELLED=0.022267206477732792, W_Afhandelen leads=0.012145748987854251, W_Completeren aanvraag=0.09919028340080972, O_SENT=0.09716599190283401, A_PREACCEPTED=0.008097165991902834, A_ACCEPTED=0.004048582995951417, O_CREATED=0.008097165991902834};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;3413;389;204;41;30;-1.0;{A_CANCELLED=0.04299065420560748, A_DECLINED=0.06542056074766354, A_APPROVED=0.003738317757009346, A_FINALIZED=0.11214953271028037, O_DECLINED=0.029906542056074768, A_REGISTERED=0.011214953271028037, W_Nabellen offertes=0.14953271028037382, O_SELECTED=0.205607476635514, O_SENT_BACK=0.009345794392523364, W_Valideren aanvraag=0.007476635514018692, O_ACCEPTED=0.003738317757009346, O_CANCELLED=0.013084112149532711, W_Afhandelen leads=0.009345794392523364, W_Completeren aanvraag=0.19813084112149532, O_SENT=0.08971962616822429, A_PREACCEPTED=0.037383177570093455, W_Beoordelen fraude=0.005607476635514018, A_ACCEPTED=0.005607476635514018};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;3588;388;199;25;31;-1.0;{A_CANCELLED=0.032015065913371, A_DECLINED=0.08286252354048965, A_APPROVED=0.003766478342749529, A_FINALIZED=0.12052730696798493, A_ACTIVATED=0.003766478342749529, O_DECLINED=0.03389830508474576, W_Nabellen offertes=0.1374764595103578, W_Wijzigen contractgegevens=0.0018832391713747645, O_SELECTED=0.23540489642184556, O_SENT_BACK=0.005649717514124294, W_Valideren aanvraag=0.003766478342749529, O_ACCEPTED=0.007532956685499058, O_CANCELLED=0.013182674199623353, W_Afhandelen leads=0.011299435028248588, W_Completeren aanvraag=0.12429378531073447, O_SENT=0.12617702448210924, A_PREACCEPTED=0.02071563088512241, A_ACCEPTED=0.0018832391713747645, W_Beoordelen fraude=0.030131826741996232, W_Nabellen incomplete dossiers=0.003766478342749529};NONALIGNING_ALL;{}
