time;logSize;fitness;deviations;resources
156335;13087;0.9496776674364182;{A_CANCELLED=0.02520952507649328, A_DECLINED=0.10442995876014367, A_FINALIZED=0.1293069043501397, O_DECLINED=0.05334574963416257, W_Nabellen offertes=0.1293069043501397, W_Wijzigen contractgegevens=6.651589729945457E-4, O_SELECTED=0.2633364374085406, O_SENT_BACK=0.013303179459890914, O_ACCEPTED=1.9954769189836372E-4, W_Afhandelen leads=0.0034588266595716377, O_CANCELLED=0.017094585605959823, W_Completeren aanvraag=0.08168152188373021, O_SENT=0.13402953305840096, A_PREACCEPTED=0.027138486098177466, W_Beoordelen fraude=0.015764267659970733, O_CREATED=0.0017294133297858188};{A_CANCELLED={10609=0.0684931506849315, 10809=0.0136986301369863, 10228=0.0273972602739726, 10899=0.1232876712328767, 10789=0.0273972602739726, 11319=0.0958904109589041, 10914=0.1095890410958904, 10859=0.1095890410958904, 10935=0.1232876712328767, 10629=0.0136986301369863, 11001=0.0136986301369863, 11289=0.0410958904109589, 11302=0.0821917808219178, 10972=0.0410958904109589, 10138=0.0684931506849315, 11029=0.0136986301369863, 11259=0.0273972602739726}, A_DECLINED={11339=0.006756756756756757, 11319=0.033783783783783786, 10779=0.02027027027027027, 10914=0.02702702702702703, 10935=0.16891891891891891, 11309=0.0472972972972973, 11001=0.12162162162162163, 11111=0.060810810810810814, 11300=0.05405405405405406, 11002=0.1554054054054054, 11299=0.02027027027027027, 11302=0.08783783783783784, 11049=0.013513513513513514, 10971=0.16891891891891891, 11029=0.006756756756756757, 11259=0.006756756756756757}, A_APPROVED={11339=0.6428571428571429, 112=0.21428571428571427, 10779=0.14285714285714285}, A_FINALIZED={10609=0.11224489795918367, 10809=0.061224489795918366, 10228=0.030612244897959183, 10779=0.02040816326530612, 10914=0.10204081632653061, 11309=0.11224489795918367, 10935=0.15306122448979592, 11001=0.09183673469387756, 11111=0.030612244897959183, 11289=0.02040816326530612, 11299=0.10204081632653061, 10972=0.08163265306122448, 10138=0.08163265306122448}, A_ACTIVATED={11339=0.6428571428571429, 112=0.21428571428571427, 10779=0.14285714285714285}, O_DECLINED={11180=0.06976744186046512, 10929=0.046511627906976744, 10909=0.046511627906976744, 10932=0.046511627906976744, 10912=0.046511627906976744, 10859=0.023255813953488372, 10914=0.023255813953488372, 11309=0.023255813953488372, 11001=0.023255813953488372, 11000=0.046511627906976744, 11121=0.023255813953488372, 11003=0.06976744186046512, 11002=0.046511627906976744, 11200=0.06976744186046512, 11049=0.046511627906976744, 11202=0.06976744186046512, 11029=0.023255813953488372, 10228=0.023255813953488372, 11119=0.046511627906976744, 11339=0.023255813953488372, 11019=0.046511627906976744, 11111=0.023255813953488372, 11299=0.023255813953488372, 10862=0.023255813953488372, 11259=0.023255813953488372, 10863=0.023255813953488372}, A_REGISTERED={11339=0.6428571428571429, 112=0.21428571428571427, 10779=0.14285714285714285}, A_SUBMITTED={112=1.0}, W_Nabellen offertes={10228=0.02010968921389397, 10779=0.02010968921389397, 10914=0.27056672760511885, 10629=0.21023765996343693, 11001=0.0603290676416819, 11289=0.03473491773308958, 10809=0.11517367458866545, 11079=0.007312614259597806, 10972=0.13528336380255943, 11269=0.003656307129798903, 10124=0.005484460694698354, 10138=0.1170018281535649}, O_SELECTED={10789=0.015873015873015872, 11339=0.007936507936507936, 10228=0.023809523809523808, 10899=0.015873015873015872, 11319=0.19047619047619047, 10779=0.023809523809523808, 10914=0.11904761904761904, 11309=0.12698412698412698, 11001=0.11904761904761904, 11111=0.031746031746031744, 11289=0.11904761904761904, 11299=0.1111111111111111, 11049=0.07936507936507936, 11259=0.015873015873015872}, O_SENT_BACK={11180=0.010638297872340425, 11181=0.010638297872340425, 10929=0.031914893617021274, 10909=0.02127659574468085, 10809=0.1595744680851064, 11339=0.010638297872340425, 10228=0.010638297872340425, 10910=0.010638297872340425, 11319=0.19148936170212766, 10889=0.010638297872340425, 10913=0.010638297872340425, 11122=0.010638297872340425, 11121=0.02127659574468085, 11289=0.14893617021276595, 10971=0.010638297872340425, 10982=0.02127659574468085, 11169=0.0425531914893617, 10138=0.26595744680851063}, W_Valideren aanvraag={11180=0.05818181818181818, 11181=0.05818181818181818, 10929=0.0703030303030303, 10910=0.03272727272727273, 10932=0.03272727272727273, 11009=0.03272727272727273, 10931=0.008484848484848486, 10912=0.02666666666666667, 10779=0.027878787878787878, 10933=0.0024242424242424242, 10914=0.006060606060606061, 10935=0.01696969696969697, 10913=0.07636363636363637, 11122=0.055757575757575756, 11121=0.044848484848484846, 11000=0.02909090909090909, 11300=0.009696969696969697, 11201=0.0048484848484848485, 11003=0.030303030303030304, 11189=0.027878787878787878, 11002=0.02909090909090909, 11302=0.0036363636363636364, 11203=0.0024242424242424242, 10939=0.01575757575757576, 11119=0.025454545454545455, 11339=0.03515151515151515, 10228=0.01575757575757576, 11019=0.008484848484848486, 10821=0.0024242424242424242, 11319=0.02181818181818182, 10889=0.02666666666666667, 11179=0.006060606060606061, 10881=0.041212121212121214, 10188=0.01575757575757576, 11299=0.0024242424242424242, 11079=0.007272727272727273, 10125=0.0048484848484848485, 10982=0.06303030303030303, 10124=0.0024242424242424242, 10863=0.01818181818181818}, O_ACCEPTED={11339=0.8181818181818182, 10779=0.18181818181818182}, W_Afhandelen leads={10609=0.16071428571428573, 10809=0.16964285714285715, 10899=0.008928571428571428, 11319=0.008928571428571428, 10779=0.017857142857142856, 10914=0.03571428571428571, 11002=0.16071428571428573, 11079=0.008928571428571428, 10188=0.12053571428571429, 11299=0.017857142857142856, 11302=0.10714285714285714, 11269=0.008928571428571428, 10972=0.0625, 10124=0.008928571428571428, 10138=0.03571428571428571, 11304=0.013392857142857142, 11259=0.05357142857142857}, O_CANCELLED={10789=0.08333333333333333, 10899=0.1875, 11339=0.020833333333333332, 10228=0.020833333333333332, 11319=0.14583333333333334, 10779=0.0625, 10914=0.22916666666666666, 11111=0.020833333333333332, 11001=0.125, 11029=0.020833333333333332, 11259=0.08333333333333333}, W_Completeren aanvraag={10609=0.07313195548489666, 10809=0.06995230524642289, 10899=0.01589825119236884, 10789=0.003179650238473768, 10779=0.05405405405405406, 10914=0.13195548489666137, 10935=0.151033386327504, 10629=0.18600953895071543, 11001=0.1383147853736089, 11254=0.00794912559618442, 11289=0.006359300476947536, 11079=0.025437201907790145, 10188=0.003179650238473768, 11049=0.0492845786963434, 10972=0.030206677265500796, 10124=0.003179650238473768, 10138=0.04292527821939587, 11259=0.00794912559618442}, O_SENT={10789=0.015873015873015872, 11339=0.007936507936507936, 10228=0.023809523809523808, 10899=0.015873015873015872, 11319=0.19047619047619047, 10779=0.023809523809523808, 10914=0.11904761904761904, 11309=0.12698412698412698, 11001=0.11904761904761904, 11111=0.031746031746031744, 11289=0.11904761904761904, 11299=0.1111111111111111, 11049=0.07936507936507936, 11259=0.015873015873015872}, A_PREACCEPTED={11181=0.1984126984126984, 10609=0.031746031746031744, 10809=0.015873015873015872, 11019=0.09523809523809523, 10933=0.1349206349206349, 10914=0.015873015873015872, 11001=0.10317460317460317, 11111=0.07936507936507936, 11201=0.12698412698412698, 11200=0.07142857142857142, 11002=0.05555555555555555, 11299=0.007936507936507936, 11302=0.015873015873015872, 10972=0.023809523809523808, 10138=0.023809523809523808}, A_ACCEPTED={10609=0.10891089108910891, 10809=0.0594059405940594, 10228=0.04950495049504951, 10779=0.019801980198019802, 10914=0.09900990099009901, 11309=0.1188118811881188, 10935=0.1485148514851485, 11001=0.0891089108910891, 11111=0.0297029702970297, 11289=0.019801980198019802, 11299=0.09900990099009901, 10972=0.07920792079207921, 10138=0.07920792079207921}, W_Beoordelen fraude={10929=0.08108108108108109, 10609=0.08108108108108109, 10909=0.05405405405405406, 11339=0.08108108108108109, 10932=0.05405405405405406, 10910=0.02702702702702703, 10779=0.16216216216216217, 11179=0.08108108108108109, 11289=0.08108108108108109, 11003=0.13513513513513514, 11302=0.02702702702702703, 10972=0.08108108108108109, 11169=0.05405405405405406}, W_Nabellen incomplete dossiers={10228=0.06666666666666667, 11339=0.029166666666666667, 11319=0.016666666666666666, 10933=0.25, 10914=0.31666666666666665, 11309=0.041666666666666664, 11001=0.008333333333333333, 11300=0.05, 11079=0.03333333333333333, 11299=0.05416666666666667, 11302=0.125, 11269=0.008333333333333333}, O_CREATED={10789=0.015873015873015872, 11339=0.007936507936507936, 10228=0.023809523809523808, 10899=0.015873015873015872, 11319=0.19047619047619047, 10779=0.023809523809523808, 10914=0.11904761904761904, 11309=0.12698412698412698, 11001=0.11904761904761904, 11111=0.031746031746031744, 11289=0.11904761904761904, 11299=0.1111111111111111, 11049=0.07936507936507936, 11259=0.015873015873015872}}
145282;13087;0.9496776674364182;{A_CANCELLED=0.024876945589996008, A_DECLINED=0.10442995876014367, A_FINALIZED=0.1293069043501397, O_DECLINED=0.05334574963416257, W_Nabellen offertes=0.1293069043501397, W_Wijzigen contractgegevens=6.651589729945457E-4, O_SELECTED=0.2633364374085406, O_SENT_BACK=0.013303179459890914, O_ACCEPTED=1.9954769189836372E-4, W_Afhandelen leads=0.0034588266595716377, O_CANCELLED=0.017360649195157642, W_Completeren aanvraag=0.08168152188373021, O_SENT=0.13402953305840096, A_PREACCEPTED=0.027138486098177466, W_Beoordelen fraude=0.015764267659970733, O_CREATED=0.0017959292270852735};{A_CANCELLED={10609=0.0684931506849315, 10809=0.0136986301369863, 10228=0.0273972602739726, 10899=0.1232876712328767, 10789=0.0273972602739726, 11319=0.0958904109589041, 10914=0.1095890410958904, 10859=0.1095890410958904, 10935=0.1232876712328767, 10629=0.0136986301369863, 11001=0.0136986301369863, 11289=0.0410958904109589, 11302=0.0821917808219178, 10972=0.0410958904109589, 10138=0.0684931506849315, 11029=0.0136986301369863, 11259=0.0273972602739726}, A_DECLINED={11339=0.006756756756756757, 11319=0.033783783783783786, 10779=0.02027027027027027, 10914=0.02702702702702703, 10935=0.16891891891891891, 11309=0.0472972972972973, 11001=0.12162162162162163, 11111=0.060810810810810814, 11300=0.05405405405405406, 11002=0.1554054054054054, 11299=0.02027027027027027, 11302=0.08783783783783784, 11049=0.013513513513513514, 10971=0.16891891891891891, 11029=0.006756756756756757, 11259=0.006756756756756757}, A_APPROVED={11339=0.6428571428571429, 112=0.21428571428571427, 10779=0.14285714285714285}, A_FINALIZED={10609=0.11224489795918367, 10809=0.061224489795918366, 10228=0.030612244897959183, 10779=0.02040816326530612, 10914=0.10204081632653061, 11309=0.11224489795918367, 10935=0.15306122448979592, 11001=0.09183673469387756, 11111=0.030612244897959183, 11289=0.02040816326530612, 11299=0.10204081632653061, 10972=0.08163265306122448, 10138=0.08163265306122448}, A_ACTIVATED={11339=0.6428571428571429, 112=0.21428571428571427, 10779=0.14285714285714285}, O_DECLINED={11180=0.06976744186046512, 10929=0.046511627906976744, 10909=0.046511627906976744, 10932=0.046511627906976744, 10912=0.046511627906976744, 10859=0.023255813953488372, 10914=0.023255813953488372, 11309=0.023255813953488372, 11001=0.023255813953488372, 11000=0.046511627906976744, 11121=0.023255813953488372, 11003=0.06976744186046512, 11002=0.046511627906976744, 11200=0.06976744186046512, 11049=0.046511627906976744, 11202=0.06976744186046512, 11029=0.023255813953488372, 10228=0.023255813953488372, 11119=0.046511627906976744, 11339=0.023255813953488372, 11019=0.046511627906976744, 11111=0.023255813953488372, 11299=0.023255813953488372, 10862=0.023255813953488372, 11259=0.023255813953488372, 10863=0.023255813953488372}, A_REGISTERED={11339=0.6428571428571429, 112=0.21428571428571427, 10779=0.14285714285714285}, A_SUBMITTED={112=1.0}, W_Nabellen offertes={10228=0.02010968921389397, 10779=0.02010968921389397, 10914=0.27056672760511885, 10629=0.21023765996343693, 11001=0.0603290676416819, 11289=0.03473491773308958, 10809=0.11517367458866545, 11079=0.007312614259597806, 10972=0.13528336380255943, 11269=0.003656307129798903, 10124=0.005484460694698354, 10138=0.1170018281535649}, O_SELECTED={10789=0.015873015873015872, 11339=0.007936507936507936, 10228=0.023809523809523808, 10899=0.015873015873015872, 11319=0.19047619047619047, 10779=0.023809523809523808, 10914=0.11904761904761904, 11309=0.12698412698412698, 11001=0.11904761904761904, 11111=0.031746031746031744, 11289=0.11904761904761904, 11299=0.1111111111111111, 11049=0.07936507936507936, 11259=0.015873015873015872}, O_SENT_BACK={11180=0.010638297872340425, 11181=0.010638297872340425, 10929=0.031914893617021274, 10909=0.02127659574468085, 10809=0.1595744680851064, 11339=0.010638297872340425, 10228=0.010638297872340425, 10910=0.010638297872340425, 11319=0.19148936170212766, 10889=0.010638297872340425, 10913=0.010638297872340425, 11122=0.010638297872340425, 11121=0.02127659574468085, 11289=0.14893617021276595, 10971=0.010638297872340425, 10982=0.02127659574468085, 11169=0.0425531914893617, 10138=0.26595744680851063}, W_Valideren aanvraag={11180=0.05818181818181818, 11181=0.05818181818181818, 10929=0.0703030303030303, 10910=0.03272727272727273, 10932=0.03272727272727273, 11009=0.03272727272727273, 10931=0.008484848484848486, 10912=0.02666666666666667, 10779=0.027878787878787878, 10933=0.0024242424242424242, 10914=0.006060606060606061, 10935=0.01696969696969697, 10913=0.07636363636363637, 11122=0.055757575757575756, 11121=0.044848484848484846, 11000=0.02909090909090909, 11300=0.009696969696969697, 11201=0.0048484848484848485, 11003=0.030303030303030304, 11189=0.027878787878787878, 11002=0.02909090909090909, 11302=0.0036363636363636364, 11203=0.0024242424242424242, 10939=0.01575757575757576, 11119=0.025454545454545455, 11339=0.03515151515151515, 10228=0.01575757575757576, 11019=0.008484848484848486, 10821=0.0024242424242424242, 11319=0.02181818181818182, 10889=0.02666666666666667, 11179=0.006060606060606061, 10881=0.041212121212121214, 10188=0.01575757575757576, 11299=0.0024242424242424242, 11079=0.007272727272727273, 10125=0.0048484848484848485, 10982=0.06303030303030303, 10124=0.0024242424242424242, 10863=0.01818181818181818}, O_ACCEPTED={11339=0.8181818181818182, 10779=0.18181818181818182}, W_Afhandelen leads={10609=0.16071428571428573, 10809=0.16964285714285715, 10899=0.008928571428571428, 11319=0.008928571428571428, 10779=0.017857142857142856, 10914=0.03571428571428571, 11002=0.16071428571428573, 11079=0.008928571428571428, 10188=0.12053571428571429, 11299=0.017857142857142856, 11302=0.10714285714285714, 11269=0.008928571428571428, 10972=0.0625, 10124=0.008928571428571428, 10138=0.03571428571428571, 11304=0.013392857142857142, 11259=0.05357142857142857}, O_CANCELLED={10789=0.08333333333333333, 10899=0.1875, 11339=0.020833333333333332, 10228=0.020833333333333332, 11319=0.14583333333333334, 10779=0.0625, 10914=0.22916666666666666, 11111=0.020833333333333332, 11001=0.125, 11029=0.020833333333333332, 11259=0.08333333333333333}, W_Completeren aanvraag={10609=0.07313195548489666, 10809=0.06995230524642289, 10899=0.01589825119236884, 10789=0.003179650238473768, 10779=0.05405405405405406, 10914=0.13195548489666137, 10935=0.151033386327504, 10629=0.18600953895071543, 11001=0.1383147853736089, 11254=0.00794912559618442, 11289=0.006359300476947536, 11079=0.025437201907790145, 10188=0.003179650238473768, 11049=0.0492845786963434, 10972=0.030206677265500796, 10124=0.003179650238473768, 10138=0.04292527821939587, 11259=0.00794912559618442}, O_SENT={10789=0.015873015873015872, 11339=0.007936507936507936, 10228=0.023809523809523808, 10899=0.015873015873015872, 11319=0.19047619047619047, 10779=0.023809523809523808, 10914=0.11904761904761904, 11309=0.12698412698412698, 11001=0.11904761904761904, 11111=0.031746031746031744, 11289=0.11904761904761904, 11299=0.1111111111111111, 11049=0.07936507936507936, 11259=0.015873015873015872}, A_PREACCEPTED={11181=0.1984126984126984, 10609=0.031746031746031744, 10809=0.015873015873015872, 11019=0.09523809523809523, 10933=0.1349206349206349, 10914=0.015873015873015872, 11001=0.10317460317460317, 11111=0.07936507936507936, 11201=0.12698412698412698, 11200=0.07142857142857142, 11002=0.05555555555555555, 11299=0.007936507936507936, 11302=0.015873015873015872, 10972=0.023809523809523808, 10138=0.023809523809523808}, A_ACCEPTED={10609=0.10891089108910891, 10809=0.0594059405940594, 10228=0.04950495049504951, 10779=0.019801980198019802, 10914=0.09900990099009901, 11309=0.1188118811881188, 10935=0.1485148514851485, 11001=0.0891089108910891, 11111=0.0297029702970297, 11289=0.019801980198019802, 11299=0.09900990099009901, 10972=0.07920792079207921, 10138=0.07920792079207921}, W_Beoordelen fraude={10929=0.08108108108108109, 10609=0.08108108108108109, 10909=0.05405405405405406, 11339=0.08108108108108109, 10932=0.05405405405405406, 10910=0.02702702702702703, 10779=0.16216216216216217, 11179=0.08108108108108109, 11289=0.08108108108108109, 11003=0.13513513513513514, 11302=0.02702702702702703, 10972=0.08108108108108109, 11169=0.05405405405405406}, W_Nabellen incomplete dossiers={10228=0.06666666666666667, 11339=0.029166666666666667, 11319=0.016666666666666666, 10933=0.25, 10914=0.31666666666666665, 11309=0.041666666666666664, 11001=0.008333333333333333, 11300=0.05, 11079=0.03333333333333333, 11299=0.05416666666666667, 11302=0.125, 11269=0.008333333333333333}, O_CREATED={10789=0.015873015873015872, 11339=0.007936507936507936, 10228=0.023809523809523808, 10899=0.015873015873015872, 11319=0.19047619047619047, 10779=0.023809523809523808, 10914=0.11904761904761904, 11309=0.12698412698412698, 11001=0.11904761904761904, 11111=0.031746031746031744, 11289=0.11904761904761904, 11299=0.1111111111111111, 11049=0.07936507936507936, 11259=0.015873015873015872}}
139948;13087;0.9496776674364182;{A_CANCELLED=0.02520952507649328, A_DECLINED=0.10442995876014367, A_FINALIZED=0.1293069043501397, O_DECLINED=0.05334574963416257, W_Nabellen offertes=0.1293069043501397, W_Wijzigen contractgegevens=6.651589729945457E-4, O_SELECTED=0.2633364374085406, O_SENT_BACK=0.013303179459890914, O_ACCEPTED=1.9954769189836372E-4, W_Afhandelen leads=0.0034588266595716377, O_CANCELLED=0.01702806970866037, W_Completeren aanvraag=0.08168152188373021, O_SENT=0.13402953305840096, A_PREACCEPTED=0.027138486098177466, W_Beoordelen fraude=0.015764267659970733, O_CREATED=0.0017959292270852735};{A_CANCELLED={10609=0.0684931506849315, 10809=0.0136986301369863, 10228=0.0273972602739726, 10899=0.1232876712328767, 10789=0.0273972602739726, 11319=0.0958904109589041, 10914=0.1095890410958904, 10859=0.1095890410958904, 10935=0.1232876712328767, 10629=0.0136986301369863, 11001=0.0136986301369863, 11289=0.0410958904109589, 11302=0.0821917808219178, 10972=0.0410958904109589, 10138=0.0684931506849315, 11029=0.0136986301369863, 11259=0.0273972602739726}, A_DECLINED={11339=0.006756756756756757, 11319=0.033783783783783786, 10779=0.02027027027027027, 10914=0.02702702702702703, 10935=0.16891891891891891, 11309=0.0472972972972973, 11001=0.12162162162162163, 11111=0.060810810810810814, 11300=0.05405405405405406, 11002=0.1554054054054054, 11299=0.02027027027027027, 11302=0.08783783783783784, 11049=0.013513513513513514, 10971=0.16891891891891891, 11029=0.006756756756756757, 11259=0.006756756756756757}, A_APPROVED={11339=0.6428571428571429, 112=0.21428571428571427, 10779=0.14285714285714285}, A_FINALIZED={10609=0.11224489795918367, 10809=0.061224489795918366, 10228=0.030612244897959183, 10779=0.02040816326530612, 10914=0.10204081632653061, 11309=0.11224489795918367, 10935=0.15306122448979592, 11001=0.09183673469387756, 11111=0.030612244897959183, 11289=0.02040816326530612, 11299=0.10204081632653061, 10972=0.08163265306122448, 10138=0.08163265306122448}, A_ACTIVATED={11339=0.6428571428571429, 112=0.21428571428571427, 10779=0.14285714285714285}, O_DECLINED={11180=0.06976744186046512, 10929=0.046511627906976744, 10909=0.046511627906976744, 10932=0.046511627906976744, 10912=0.046511627906976744, 10859=0.023255813953488372, 10914=0.023255813953488372, 11309=0.023255813953488372, 11001=0.023255813953488372, 11000=0.046511627906976744, 11121=0.023255813953488372, 11003=0.06976744186046512, 11002=0.046511627906976744, 11200=0.06976744186046512, 11049=0.046511627906976744, 11202=0.06976744186046512, 11029=0.023255813953488372, 10228=0.023255813953488372, 11119=0.046511627906976744, 11339=0.023255813953488372, 11019=0.046511627906976744, 11111=0.023255813953488372, 11299=0.023255813953488372, 10862=0.023255813953488372, 11259=0.023255813953488372, 10863=0.023255813953488372}, A_REGISTERED={11339=0.6428571428571429, 112=0.21428571428571427, 10779=0.14285714285714285}, A_SUBMITTED={112=1.0}, W_Nabellen offertes={10228=0.02010968921389397, 10779=0.02010968921389397, 10914=0.27056672760511885, 10629=0.21023765996343693, 11001=0.0603290676416819, 11289=0.03473491773308958, 10809=0.11517367458866545, 11079=0.007312614259597806, 10972=0.13528336380255943, 11269=0.003656307129798903, 10124=0.005484460694698354, 10138=0.1170018281535649}, O_SELECTED={10789=0.015873015873015872, 11339=0.007936507936507936, 10228=0.023809523809523808, 10899=0.015873015873015872, 11319=0.19047619047619047, 10779=0.023809523809523808, 10914=0.11904761904761904, 11309=0.12698412698412698, 11001=0.11904761904761904, 11111=0.031746031746031744, 11289=0.11904761904761904, 11299=0.1111111111111111, 11049=0.07936507936507936, 11259=0.015873015873015872}, O_SENT_BACK={11180=0.010638297872340425, 11181=0.010638297872340425, 10929=0.031914893617021274, 10909=0.02127659574468085, 10809=0.1595744680851064, 11339=0.010638297872340425, 10228=0.010638297872340425, 10910=0.010638297872340425, 11319=0.19148936170212766, 10889=0.010638297872340425, 10913=0.010638297872340425, 11122=0.010638297872340425, 11121=0.02127659574468085, 11289=0.14893617021276595, 10971=0.010638297872340425, 10982=0.02127659574468085, 11169=0.0425531914893617, 10138=0.26595744680851063}, W_Valideren aanvraag={11180=0.05818181818181818, 11181=0.05818181818181818, 10929=0.0703030303030303, 10910=0.03272727272727273, 10932=0.03272727272727273, 11009=0.03272727272727273, 10931=0.008484848484848486, 10912=0.02666666666666667, 10779=0.027878787878787878, 10933=0.0024242424242424242, 10914=0.006060606060606061, 10935=0.01696969696969697, 10913=0.07636363636363637, 11122=0.055757575757575756, 11121=0.044848484848484846, 11000=0.02909090909090909, 11300=0.009696969696969697, 11201=0.0048484848484848485, 11003=0.030303030303030304, 11189=0.027878787878787878, 11002=0.02909090909090909, 11302=0.0036363636363636364, 11203=0.0024242424242424242, 10939=0.01575757575757576, 11119=0.025454545454545455, 11339=0.03515151515151515, 10228=0.01575757575757576, 11019=0.008484848484848486, 10821=0.0024242424242424242, 11319=0.02181818181818182, 10889=0.02666666666666667, 11179=0.006060606060606061, 10881=0.041212121212121214, 10188=0.01575757575757576, 11299=0.0024242424242424242, 11079=0.007272727272727273, 10125=0.0048484848484848485, 10982=0.06303030303030303, 10124=0.0024242424242424242, 10863=0.01818181818181818}, O_ACCEPTED={11339=0.8181818181818182, 10779=0.18181818181818182}, W_Afhandelen leads={10609=0.16071428571428573, 10809=0.16964285714285715, 10899=0.008928571428571428, 11319=0.008928571428571428, 10779=0.017857142857142856, 10914=0.03571428571428571, 11002=0.16071428571428573, 11079=0.008928571428571428, 10188=0.12053571428571429, 11299=0.017857142857142856, 11302=0.10714285714285714, 11269=0.008928571428571428, 10972=0.0625, 10124=0.008928571428571428, 10138=0.03571428571428571, 11304=0.013392857142857142, 11259=0.05357142857142857}, O_CANCELLED={10789=0.08333333333333333, 10899=0.1875, 11339=0.020833333333333332, 10228=0.020833333333333332, 11319=0.14583333333333334, 10779=0.0625, 10914=0.22916666666666666, 11111=0.020833333333333332, 11001=0.125, 11029=0.020833333333333332, 11259=0.08333333333333333}, W_Completeren aanvraag={10609=0.07313195548489666, 10809=0.06995230524642289, 10899=0.01589825119236884, 10789=0.003179650238473768, 10779=0.05405405405405406, 10914=0.13195548489666137, 10935=0.151033386327504, 10629=0.18600953895071543, 11001=0.1383147853736089, 11254=0.00794912559618442, 11289=0.006359300476947536, 11079=0.025437201907790145, 10188=0.003179650238473768, 11049=0.0492845786963434, 10972=0.030206677265500796, 10124=0.003179650238473768, 10138=0.04292527821939587, 11259=0.00794912559618442}, O_SENT={10789=0.015873015873015872, 11339=0.007936507936507936, 10228=0.023809523809523808, 10899=0.015873015873015872, 11319=0.19047619047619047, 10779=0.023809523809523808, 10914=0.11904761904761904, 11309=0.12698412698412698, 11001=0.11904761904761904, 11111=0.031746031746031744, 11289=0.11904761904761904, 11299=0.1111111111111111, 11049=0.07936507936507936, 11259=0.015873015873015872}, A_PREACCEPTED={11181=0.1984126984126984, 10609=0.031746031746031744, 10809=0.015873015873015872, 11019=0.09523809523809523, 10933=0.1349206349206349, 10914=0.015873015873015872, 11001=0.10317460317460317, 11111=0.07936507936507936, 11201=0.12698412698412698, 11200=0.07142857142857142, 11002=0.05555555555555555, 11299=0.007936507936507936, 11302=0.015873015873015872, 10972=0.023809523809523808, 10138=0.023809523809523808}, A_ACCEPTED={10609=0.10891089108910891, 10809=0.0594059405940594, 10228=0.04950495049504951, 10779=0.019801980198019802, 10914=0.09900990099009901, 11309=0.1188118811881188, 10935=0.1485148514851485, 11001=0.0891089108910891, 11111=0.0297029702970297, 11289=0.019801980198019802, 11299=0.09900990099009901, 10972=0.07920792079207921, 10138=0.07920792079207921}, W_Beoordelen fraude={10929=0.08108108108108109, 10609=0.08108108108108109, 10909=0.05405405405405406, 11339=0.08108108108108109, 10932=0.05405405405405406, 10910=0.02702702702702703, 10779=0.16216216216216217, 11179=0.08108108108108109, 11289=0.08108108108108109, 11003=0.13513513513513514, 11302=0.02702702702702703, 10972=0.08108108108108109, 11169=0.05405405405405406}, W_Nabellen incomplete dossiers={10228=0.06666666666666667, 11339=0.029166666666666667, 11319=0.016666666666666666, 10933=0.25, 10914=0.31666666666666665, 11309=0.041666666666666664, 11001=0.008333333333333333, 11300=0.05, 11079=0.03333333333333333, 11299=0.05416666666666667, 11302=0.125, 11269=0.008333333333333333}, O_CREATED={10789=0.015873015873015872, 11339=0.007936507936507936, 10228=0.023809523809523808, 10899=0.015873015873015872, 11319=0.19047619047619047, 10779=0.023809523809523808, 10914=0.11904761904761904, 11309=0.12698412698412698, 11001=0.11904761904761904, 11111=0.031746031746031744, 11289=0.11904761904761904, 11299=0.1111111111111111, 11049=0.07936507936507936, 11259=0.015873015873015872}}
