delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.1;5010;3563;60;12;5;-1.0;{};NONALIGNING_KNOWN;{Create Fine={11=0.3183183183183183, 57=0.006006006006006006, 36=0.024024024024024024, 58=0.003003003003003003, 49=0.006006006006006006, 28=0.03903903903903904, 29=0.015015015015015015, 563=0.009009009009009009, 541=0.07207207207207207, 850=0.018018018018018018, 852=0.009009009009009009, 566=0.012012012012012012, 831=0.03003003003003003, 557=0.012012012012012012, 821=0.03003003003003003, 536=0.012012012012012012, 9=0.0960960960960961, 857=0.006006006006006006, 50=0.2042042042042042, 30=0.006006006006006006, 52=0.012012012012012012, 838=0.009009009009009009, 53=0.042042042042042045, 31=0.009009009009009009}}
0.01;0.99;0.01;0.1;4174;2995;61;17;6;-1.0;{};NONALIGNING_KNOWN;{Create Fine={25=0.0075046904315197, 49=0.0075046904315197, 29=0.4803001876172608, 550=0.005628517823639775, 850=0.00375234521575985, 851=0.17073170731707318, 830=0.00375234521575985, 557=0.005628517823639775, 536=0.001876172607879925, 558=0.03377110694183865, 559=0.0075046904315197, 834=0.0150093808630394, 538=0.01125703564727955, 52=0.00375234521575985, 32=0.11444652908067542, 54=0.0075046904315197, 11=0.005628517823639775, 35=0.00375234521575985, 36=0.00375234521575985, 59=0.01125703564727955, 17=0.0075046904315197, 541=0.05628517823639775, 9=0.00375234521575985, 823=0.001876172607879925, 848=0.009380863039399626, 40=0.001876172607879925, 849=0.0150093808630394}}
0.01;0.99;0.01;0.1;6435;4055;64;19;10;-1.0;{};NONALIGNING_KNOWN;{Create Fine={11=0.09360730593607305, 22=0.00684931506849315, 44=0.00684931506849315, 46=0.0273972602739726, 26=0.0045662100456621, 15=0.01141552511415525, 29=0.0091324200913242, 541=0.0182648401826484, 850=0.00684931506849315, 851=0.0045662100456621, 555=0.0091324200913242, 557=0.03424657534246575, 536=0.0136986301369863, 844=0.01141552511415525, 537=0.0136986301369863, 846=0.0091324200913242, 825=0.0045662100456621, 837=0.0319634703196347, 40=0.3310502283105023, 848=0.0273972602739726, 52=0.2534246575342466, 30=0.0547945205479452, 42=0.0045662100456621, 43=0.01141552511415525}}
0.01;0.99;0.01;0.1;4436;4381;74;20;5;-1.0;{};NONALIGNING_KNOWN;{Create Fine={23=0.010554089709762533, 49=0.010554089709762533, 28=0.03430079155672823, 29=0.021108179419525065, 550=0.0158311345646438, 552=0.026385224274406333, 830=0.0316622691292876, 556=0.052770448548812667, 557=0.0316622691292876, 854=0.0079155672823219, 558=0.010554089709762533, 536=0.002638522427440633, 537=0.052770448548812667, 559=0.0316622691292876, 538=0.0870712401055409, 30=0.0158311345646438, 839=0.002638522427440633, 53=0.0316622691292876, 10=0.0158311345646438, 11=0.018469656992084433, 35=0.005277044854881266, 39=0.005277044854881266, 540=0.0079155672823219, 541=0.0079155672823219, 3=0.002638522427440633, 548=0.010554089709762533, 61=0.0079155672823219, 847=0.42216358839050133, 40=0.0079155672823219, 829=0.010554089709762533}}
0.01;0.99;0.01;0.1;5357;4726;76;20;6;-1.0;{};NONALIGNING_KNOWN;{Create Fine={819=0.02696629213483146, 11=0.020224719101123594, 45=0.32134831460674157, 46=0.01348314606741573, 25=0.0044943820224719105, 37=0.008988764044943821, 59=0.017977528089887642, 27=0.020224719101123594, 29=0.04269662921348315, 550=0.008988764044943821, 556=0.05393258426966292, 831=0.008988764044943821, 557=0.22247191011235956, 558=0.0022471910112359553, 536=0.0044943820224719105, 844=0.01348314606741573, 845=0.07191011235955057, 537=0.024719101123595506, 548=0.0044943820224719105, 824=0.01348314606741573, 30=0.006741573033707865, 839=0.011235955056179775, 829=0.03146067415730337, 32=0.0449438202247191}}
0.01;0.99;0.01;0.1;5367;3460;62;16;9;-1.0;{};NONALIGNING_KNOWN;{Create Fine={26=0.004464285714285714, 49=0.03571428571428571, 27=0.011160714285714286, 28=0.008928571428571428, 550=0.022321428571428572, 555=0.017857142857142856, 831=0.002232142857142857, 832=0.18080357142857142, 558=0.05133928571428571, 559=0.04241071428571429, 834=0.16294642857142858, 538=0.020089285714285716, 836=0.008928571428571428, 858=0.006696428571428571, 837=0.004464285714285714, 30=0.026785714285714284, 31=0.23214285714285715, 53=0.03794642857142857, 32=0.008928571428571428, 37=0.008928571428571428, 39=0.004464285714285714, 860=0.008928571428571428, 564=0.006696428571428571, 840=0.004464285714285714, 546=0.004464285714285714, 823=0.008928571428571428, 40=0.013392857142857142, 848=0.008928571428571428, 849=0.03571428571428571, 43=0.008928571428571428}}
0.01;0.99;0.01;0.1;5749;5556;74;15;9;-1.0;{};NONALIGNING_KNOWN;{Create Fine={44=0.002702702702702703, 27=0.03513513513513514, 49=0.05945945945945946, 28=0.008108108108108109, 29=0.07297297297297298, 550=0.0972972972972973, 831=0.04594594594594595, 557=0.34324324324324323, 811=0.008108108108108109, 536=0.010810810810810811, 538=0.0972972972972973, 50=0.008108108108108109, 52=0.005405405405405406, 839=0.008108108108108109, 55=0.04594594594594595, 56=0.05675675675675676, 57=0.005405405405405406, 59=0.013513513513513514, 39=0.013513513513513514, 561=0.005405405405405406, 541=0.013513513513513514, 820=0.005405405405405406, 824=0.010810810810810811, 847=0.010810810810810811, 827=0.008108108108108109, 41=0.008108108108108109}}
0.01;0.99;0.01;0.1;5042;4993;75;20;4;-1.0;{};NONALIGNING_KNOWN;{Create Fine={11=0.027253668763102725, 58=0.0041928721174004195, 28=0.027253668763102725, 29=0.016771488469601678, 561=0.006289308176100629, 540=0.016771488469601678, 541=0.016771488469601678, 860=0.033542976939203356, 852=0.0041928721174004195, 556=0.03773584905660377, 557=0.016771488469601678, 536=0.033542976939203356, 823=0.3165618448637317, 537=0.27882599580712786, 834=0.025157232704402517, 538=0.020964360587002098, 40=0.008385744234800839, 52=0.07966457023060797, 30=0.006289308176100629, 53=0.006289308176100629, 31=0.008385744234800839, 839=0.008385744234800839}}
0.01;0.99;0.01;0.1;4299;3563;69;18;8;-1.0;{};NONALIGNING_KNOWN;{Create Fine={11=0.06769230769230769, 34=0.012307692307692308, 46=0.024615384615384615, 25=0.012307692307692308, 58=0.012307692307692308, 49=0.009230769230769232, 29=0.03076923076923077, 560=0.009230769230769232, 550=0.012307692307692308, 840=0.012307692307692308, 554=0.009230769230769232, 555=0.006153846153846154, 852=0.012307692307692308, 557=0.03076923076923077, 558=0.37538461538461537, 9=0.003076923076923077, 559=0.2553846153846154, 537=0.012307692307692308, 538=0.015384615384615385, 825=0.012307692307692308, 30=0.003076923076923077, 829=0.055384615384615386, 10=0.006153846153846154}}
0.01;0.99;0.01;0.1;4557;3490;56;17;10;-1.0;{};NONALIGNING_KNOWN;{Create Fine={23=0.009900990099009901, 57=0.013201320132013201, 46=0.019801980198019802, 49=0.0627062706270627, 27=0.006600660066006601, 39=0.013201320132013201, 29=0.006600660066006601, 550=0.019801980198019802, 564=0.019801980198019802, 831=0.009900990099009901, 568=0.009900990099009901, 536=0.0165016501650165, 537=0.036303630363036306, 559=0.10891089108910891, 9=0.013201320132013201, 846=0.019801980198019802, 538=0.04950495049504951, 858=0.2739273927392739, 63=0.2508250825082508, 53=0.013201320132013201, 43=0.026402640264026403}}
