delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.99;0.01;0.2;11178;659;310;146;-1.0;{W_Nabellen offertes=0.18127250900360145, O_SELECTED=0.15066026410564226, W_Completeren aanvraag=0.14585834333733494, A_FINALIZED=0.07743097238895558, A_DECLINED=0.06782713085234093, O_SENT=0.06422569027611044, W_Valideren aanvraag=0.034213685474189674, A_CANCELLED=0.03361344537815126, W_Afhandelen leads=0.033013205282112844, O_CANCELLED=0.029411764705882353, O_DECLINED=0.028211284513805522, W_Nabellen incomplete dossiers=0.026410564225690276, A_REGISTERED=0.02220888355342137, O_ACCEPTED=0.017406962785114045, W_Beoordelen fraude=0.01680672268907563, O_CREATED=0.015606242496998799, A_ACTIVATED=0.013805522208883553, A_PREACCEPTED=0.013205282112845138, A_APPROVED=0.012605042016806723, A_ACCEPTED=0.012004801920768308, O_SENT_BACK=0.0024009603841536613, W_Wijzigen contractgegevens=0.001800720288115246};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.2;9228;661;313;151;-1.0;{W_Nabellen offertes=0.16138165345413363, O_SELECTED=0.1404303510758777, W_Completeren aanvraag=0.13986409966024915, A_FINALIZED=0.07134767836919592, A_DECLINED=0.06455266138165346, W_Valideren aanvraag=0.05719139297848245, W_Afhandelen leads=0.05719139297848245, O_SENT=0.04983012457531144, W_Nabellen incomplete dossiers=0.0492638731596829, O_DECLINED=0.0362400906002265, A_CANCELLED=0.03227633069082673, O_CANCELLED=0.027180067950169876, A_APPROVED=0.02378255945639864, O_ACCEPTED=0.01698754246885617, A_REGISTERED=0.015855039637599093, A_ACTIVATED=0.013590033975084938, A_PREACCEPTED=0.013590033975084938, O_CREATED=0.010192525481313703, W_Beoordelen fraude=0.006795016987542469, A_ACCEPTED=0.00622876557191393, O_SENT_BACK=0.004530011325028313, W_Wijzigen contractgegevens=0.0016987542468856172};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.2;13793;666;311;140;-1.0;{W_Completeren aanvraag=0.17217716781035558, W_Nabellen offertes=0.16344354335620712, O_SELECTED=0.15470991890205865, A_FINALIZED=0.06737367436057393, O_SENT=0.06737367436057393, A_DECLINED=0.059263880224578916, A_CANCELLED=0.044291952588895823, O_CANCELLED=0.03618215845290081, W_Nabellen incomplete dossiers=0.035558328134747345, W_Valideren aanvraag=0.034310667498440424, W_Afhandelen leads=0.032439176543980035, O_DECLINED=0.023081721771678103, A_APPROVED=0.020586400499064253, A_REGISTERED=0.020586400499064253, O_CREATED=0.014971927635683094, A_ACTIVATED=0.014348097317529632, A_PREACCEPTED=0.014348097317529632, O_ACCEPTED=0.013100436681222707, O_SENT_BACK=0.0056144728633811605, A_ACCEPTED=0.004366812227074236, W_Beoordelen fraude=0.0018714909544603868};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.2;15344;660;324;157;-1.0;{W_Nabellen offertes=0.16933096506808762, O_SELECTED=0.14801657785671996, W_Completeren aanvraag=0.13972764949674363, A_FINALIZED=0.07400828892835998, A_DECLINED=0.07282415630550622, W_Afhandelen leads=0.0615748963883955, O_SENT=0.05979869745411486, W_Valideren aanvraag=0.05150976909413854, O_CANCELLED=0.04203670811130847, A_CANCELLED=0.03019538188277087, O_DECLINED=0.028419182948490232, W_Nabellen incomplete dossiers=0.028419182948490232, A_APPROVED=0.017761989342806393, A_REGISTERED=0.015393724097098875, O_ACCEPTED=0.015393724097098875, O_CREATED=0.015393724097098875, A_PREACCEPTED=0.008288928359976317, A_ACTIVATED=0.007104795737122558, A_ACCEPTED=0.006512729425695678, O_SENT_BACK=0.0053285968028419185, W_Wijzigen contractgegevens=0.0017761989342806395, W_Beoordelen fraude=0.0011841326228537595};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.2;9843;663;302;139;-1.0;{W_Nabellen offertes=0.16194076874606175, O_SELECTED=0.14303717706364208, W_Completeren aanvraag=0.14240705734089476, A_FINALIZED=0.08065532451165722, O_SENT=0.0661625708884688, W_Valideren aanvraag=0.05923125393824827, A_DECLINED=0.04788909892879647, W_Afhandelen leads=0.0428481411468179, W_Nabellen incomplete dossiers=0.04221802142407057, O_CANCELLED=0.034026465028355386, A_CANCELLED=0.027095148078134845, A_REGISTERED=0.02205419029615627, O_CREATED=0.02205419029615627, O_DECLINED=0.020163831127914304, A_ACTIVATED=0.019533711405166982, O_ACCEPTED=0.018273471959672338, A_APPROVED=0.01575299306868305, A_PREACCEPTED=0.011342155009451797, W_Beoordelen fraude=0.011342155009451797, O_SENT_BACK=0.006931316950220542, A_ACCEPTED=0.00315059861373661, W_Wijzigen contractgegevens=0.001890359168241966};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.2;9008;660;319;138;-1.0;{W_Nabellen offertes=0.16514875531268974, O_SELECTED=0.15604128718882818, W_Completeren aanvraag=0.14632665452337584, A_FINALIZED=0.07953855494839102, O_SENT=0.06435944140862174, A_DECLINED=0.0546448087431694, W_Valideren aanvraag=0.052216150576806314, W_Afhandelen leads=0.04796599878567092, W_Nabellen incomplete dossiers=0.04553734061930783, O_CANCELLED=0.03217972070431087, A_CANCELLED=0.030358227079538554, O_DECLINED=0.0273224043715847, A_APPROVED=0.020643594414086218, O_ACCEPTED=0.014571948998178506, A_REGISTERED=0.013357619914996965, A_PREACCEPTED=0.01153612629022465, W_Beoordelen fraude=0.01153612629022465, A_ACTIVATED=0.01092896174863388, O_CREATED=0.008500303582270795, O_SENT_BACK=0.006071645415907711, A_ACCEPTED=0.0012143290831815423};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.2;7411;662;301;140;-1.0;{W_Completeren aanvraag=0.16741500962155229, W_Nabellen offertes=0.1597177677998717, O_SELECTED=0.14304041051956382, A_FINALIZED=0.08980115458627325, A_DECLINED=0.062219371391917896, W_Valideren aanvraag=0.062219371391917896, O_SENT=0.059012187299550996, W_Afhandelen leads=0.05003207184092367, A_CANCELLED=0.039769082745349585, O_DECLINED=0.03399615137908916, O_CANCELLED=0.030788967286722257, W_Nabellen incomplete dossiers=0.030147530468248876, O_ACCEPTED=0.013470173187940988, A_APPROVED=0.010904425914047467, A_ACTIVATED=0.010904425914047467, A_PREACCEPTED=0.010262989095574085, O_CREATED=0.010262989095574085, A_REGISTERED=0.007055805003207184, O_SENT_BACK=0.005772931366260423, A_ACCEPTED=0.003207184092366902};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.2;8233;662;331;151;-1.0;{W_Nabellen offertes=0.15418781725888325, O_SELECTED=0.15101522842639595, W_Completeren aanvraag=0.12309644670050761, A_FINALIZED=0.08375634517766498, A_DECLINED=0.07614213197969544, W_Valideren aanvraag=0.07043147208121828, O_SENT=0.060279187817258884, O_DECLINED=0.0399746192893401, A_CANCELLED=0.03680203045685279, W_Afhandelen leads=0.031091370558375634, O_CANCELLED=0.027918781725888325, W_Nabellen incomplete dossiers=0.02601522842639594, A_ACTIVATED=0.02284263959390863, O_ACCEPTED=0.02030456852791878, A_REGISTERED=0.01903553299492386, A_APPROVED=0.017766497461928935, O_CREATED=0.012055837563451776, W_Beoordelen fraude=0.011421319796954314, A_PREACCEPTED=0.006345177664974619, A_ACCEPTED=0.005076142131979695, O_SENT_BACK=0.004441624365482234};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.2;11249;662;324;155;-1.0;{W_Nabellen offertes=0.1780233271945979, W_Completeren aanvraag=0.17249846531614488, O_SELECTED=0.1596071209330878, A_FINALIZED=0.07366482504604052, O_SENT=0.061387354205033766, A_CANCELLED=0.044812768569674644, W_Afhandelen leads=0.044812768569674644, A_DECLINED=0.041743400859422956, W_Valideren aanvraag=0.040515653775322284, O_CANCELLED=0.03314917127071823, A_APPROVED=0.02332719459791283, W_Nabellen incomplete dossiers=0.021485573971761818, O_DECLINED=0.01841620626151013, A_PREACCEPTED=0.016574585635359115, O_CREATED=0.016574585635359115, O_ACCEPTED=0.01596071209330878, A_ACTIVATED=0.012277470841006752, A_REGISTERED=0.012277470841006752, O_SENT_BACK=0.006752608962553714, A_ACCEPTED=0.003683241252302026, W_Beoordelen fraude=0.001841620626151013, W_Wijzigen contractgegevens=6.138735420503376E-4};NONALIGNING_ALL;{}
0.01;0.99;0.01;0.2;12687;665;311;142;-1.0;{W_Nabellen offertes=0.1772002362669817, O_SELECTED=0.16184288245717662, W_Completeren aanvraag=0.12699350265800355, A_FINALIZED=0.07619610159480213, O_SENT=0.07265209686946249, A_DECLINED=0.057885410513880686, W_Afhandelen leads=0.052569403425871235, W_Valideren aanvraag=0.047844063792085056, A_CANCELLED=0.0318960425280567, O_DECLINED=0.030124040165386886, W_Nabellen incomplete dossiers=0.030124040165386886, O_CANCELLED=0.027170702894270527, O_ACCEPTED=0.02067336089781453, A_ACTIVATED=0.01831069108092144, A_APPROVED=0.01594802126402835, O_CREATED=0.012404016538688719, A_PREACCEPTED=0.010632014176018901, A_REGISTERED=0.01004134672179563, W_Beoordelen fraude=0.009450679267572357, O_SENT_BACK=0.006497341996455995, A_ACCEPTED=0.002362669816893089, W_Wijzigen contractgegevens=0.0011813349084465446};NONALIGNING_ALL;{}
