delta;alpha;epsilon;k;time;logSize;variants;approximated;approxThenCalc;fitness;deviations;approximationMode;resources
0.05;0.9;0.01;0.1;172;86;81;0;0;0.8695834614103845;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;472;82;82;0;0;0.7994018838728661;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;614;73;68;0;0;0.8237668427600555;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;270;75;74;0;0;0.8065360759497344;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;799;117;110;0;0;0.8328962629084051;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;383;75;73;0;0;0.8347241802142221;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;367;77;73;0;0;0.8312081715988704;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;688;82;82;0;0;0.8272266534627425;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;406;83;82;0;0;0.8367572090841708;{};NONALIGNING_KNOWN;{}
0.05;0.9;0.01;0.1;254;76;76;0;0;0.8091898632013435;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;205;92;86;0;0;0.8693549079329042;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;686;90;88;0;0;0.7899382633103433;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;609;80;75;0;0;0.818972130120447;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;352;83;82;0;0;0.8142986569748586;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;1006;125;118;0;0;0.829573397550715;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;1608;124;121;0;0;0.815130008593872;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;372;82;78;0;0;0.8303882060654505;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;696;93;89;0;0;0.8280357915464062;{};NONALIGNING_KNOWN;{}
0.1;0.99;0.01;0.1;439;91;89;0;0;0.837047627403316;{};NONALIGNING_KNOWN;{}
