delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.95;0.01;0.1;55;380;22;0;-1.0;{Payment+complete=0.375, Insert Date Appeal to Prefecture+complete=0.1875, Add penalty+complete=0.015625, Insert Fine Notification+complete=0.015625, Send Appeal to Prefecture+complete=0.1875, Notify Result Appeal to Offender+complete=0.078125, Receive Result Appeal from Prefecture+complete=0.078125, Appeal to Judge+complete=0.015625, Send Fine+complete=0.046875};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;55;384;23;0;-1.0;{Payment+complete=0.4489795918367347, Insert Date Appeal to Prefecture+complete=0.22448979591836735, Send Appeal to Prefecture+complete=0.22448979591836735, Notify Result Appeal to Offender+complete=0.02040816326530612, Receive Result Appeal from Prefecture+complete=0.04081632653061224, Send Fine+complete=0.04081632653061224};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;56;382;21;0;-1.0;{Payment+complete=0.46, Insert Date Appeal to Prefecture+complete=0.24, Send Appeal to Prefecture+complete=0.24, Receive Result Appeal from Prefecture+complete=0.04, Send Fine+complete=0.02};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;57;381;28;0;-1.0;{Payment+complete=0.3888888888888889, Insert Date Appeal to Prefecture+complete=0.2222222222222222, Send Appeal to Prefecture+complete=0.2037037037037037, Notify Result Appeal to Offender+complete=0.07407407407407407, Receive Result Appeal from Prefecture+complete=0.07407407407407407, Send Fine+complete=0.037037037037037035};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;118;382;25;0;-1.0;{Payment+complete=0.4166666666666667, Insert Date Appeal to Prefecture+complete=0.25, Add penalty+complete=0.020833333333333332, Send Appeal to Prefecture+complete=0.22916666666666666, Notify Result Appeal to Offender+complete=0.020833333333333332, Receive Result Appeal from Prefecture+complete=0.020833333333333332, Appeal to Judge+complete=0.041666666666666664};NONALIGNING_KNOWN;{}
0.01;0.95;0.01;0.1;56;375;23;0;-1.0;{Payment+complete=0.2962962962962963, Insert Date Appeal to Prefecture+complete=0.2222222222222222, Add penalty+complete=0.05555555555555555, Send Appeal to Prefecture+complete=0.2222222222222222, Notify Result Appeal to Offender+complete=0.05555555555555555, Receive Result Appeal from Prefecture+complete=0.07407407407407407, Appeal to Judge+complete=0.018518518518518517, Send Fine+complete=0.05555555555555555};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;96;261;18;0;-1.0;{Payment+complete=0.5714285714285714, Insert Date Appeal to Prefecture+complete=0.17857142857142858, Add penalty+complete=0.03571428571428571, Send Appeal to Prefecture+complete=0.17857142857142858, Send Fine+complete=0.03571428571428571};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;41;266;23;0;-1.0;{Payment+complete=0.30952380952380953, Insert Date Appeal to Prefecture+complete=0.23809523809523808, Add penalty+complete=0.023809523809523808, Send Appeal to Prefecture+complete=0.23809523809523808, Notify Result Appeal to Offender+complete=0.09523809523809523, Receive Result Appeal from Prefecture+complete=0.09523809523809523};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;100;265;22;0;-1.0;{Payment+complete=0.5789473684210527, Insert Date Appeal to Prefecture+complete=0.10526315789473684, Add penalty+complete=0.05263157894736842, Send Appeal to Prefecture+complete=0.10526315789473684, Notify Result Appeal to Offender+complete=0.05263157894736842, Receive Result Appeal from Prefecture+complete=0.05263157894736842, Send Fine+complete=0.05263157894736842};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;38;268;19;0;-1.0;{Payment+complete=0.6521739130434783, Insert Date Appeal to Prefecture+complete=0.13043478260869565, Send Appeal to Prefecture+complete=0.13043478260869565, Appeal to Judge+complete=0.043478260869565216, Send Fine+complete=0.043478260869565216};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;97;268;26;0;-1.0;{Payment+complete=0.39622641509433965, Insert Date Appeal to Prefecture+complete=0.1509433962264151, Add penalty+complete=0.018867924528301886, Insert Fine Notification+complete=0.018867924528301886, Send Appeal to Prefecture+complete=0.1509433962264151, Notify Result Appeal to Offender+complete=0.09433962264150944, Receive Result Appeal from Prefecture+complete=0.09433962264150944, Appeal to Judge+complete=0.018867924528301886, Send Fine+complete=0.05660377358490566};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;39;268;19;0;-1.0;{Payment+complete=0.3548387096774194, Insert Date Appeal to Prefecture+complete=0.25806451612903225, Send Appeal to Prefecture+complete=0.25806451612903225, Notify Result Appeal to Offender+complete=0.03225806451612903, Receive Result Appeal from Prefecture+complete=0.06451612903225806, Send Fine+complete=0.03225806451612903};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;41;269;20;0;-1.0;{Payment+complete=0.42857142857142855, Insert Date Appeal to Prefecture+complete=0.2571428571428571, Send Appeal to Prefecture+complete=0.2571428571428571, Receive Result Appeal from Prefecture+complete=0.02857142857142857, Send Fine+complete=0.02857142857142857};NONALIGNING_KNOWN;{}
0.01;0.9;0.01;0.1;41;267;24;0;-1.0;{Payment+complete=0.4166666666666667, Insert Date Appeal to Prefecture+complete=0.2222222222222222, Send Appeal to Prefecture+complete=0.19444444444444445, Notify Result Appeal to Offender+complete=0.05555555555555555, Receive Result Appeal from Prefecture+complete=0.05555555555555555, Send Fine+complete=0.05555555555555555};NONALIGNING_KNOWN;{}
