delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.95;0.01;0.1;58;381;24;3;-1.0;{Payment+complete=0.6946564885496184, Insert Date Appeal to Prefecture+complete=0.0916030534351145, Add penalty+complete=0.007633587786259542, Insert Fine Notification+complete=0.007633587786259542, Send Appeal to Prefecture+complete=0.0916030534351145, Notify Result Appeal to Offender+complete=0.03816793893129771, Receive Result Appeal from Prefecture+complete=0.03816793893129771, Appeal to Judge+complete=0.007633587786259542, Send Fine+complete=0.022900763358778626};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;53;384;23;0;-1.0;{Payment+complete=0.4489795918367347, Insert Date Appeal to Prefecture+complete=0.22448979591836735, Send Appeal to Prefecture+complete=0.22448979591836735, Notify Result Appeal to Offender+complete=0.02040816326530612, Receive Result Appeal from Prefecture+complete=0.04081632653061224, Send Fine+complete=0.04081632653061224};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;55;383;22;0;-1.0;{Payment+complete=0.46, Insert Date Appeal to Prefecture+complete=0.24, Send Appeal to Prefecture+complete=0.24, Receive Result Appeal from Prefecture+complete=0.04, Send Fine+complete=0.02};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;55;370;29;2;-1.0;{Payment+complete=0.7155172413793104, Insert Date Appeal to Prefecture+complete=0.10344827586206896, Send Appeal to Prefecture+complete=0.09482758620689655, Notify Result Appeal to Offender+complete=0.034482758620689655, Receive Result Appeal from Prefecture+complete=0.034482758620689655, Send Fine+complete=0.017241379310344827};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;53;384;26;0;-1.0;{Payment+complete=0.4166666666666667, Insert Date Appeal to Prefecture+complete=0.25, Add penalty+complete=0.020833333333333332, Send Appeal to Prefecture+complete=0.22916666666666666, Notify Result Appeal to Offender+complete=0.020833333333333332, Receive Result Appeal from Prefecture+complete=0.020833333333333332, Appeal to Judge+complete=0.041666666666666664};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;54;383;26;1;-1.0;{Payment+complete=0.6545454545454545, Insert Date Appeal to Prefecture+complete=0.10909090909090909, Add penalty+complete=0.02727272727272727, Send Appeal to Prefecture+complete=0.10909090909090909, Notify Result Appeal to Offender+complete=0.02727272727272727, Receive Result Appeal from Prefecture+complete=0.03636363636363636, Appeal to Judge+complete=0.00909090909090909, Send Fine+complete=0.02727272727272727};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;40;267;15;0;-1.0;{Payment+complete=0.5714285714285714, Insert Date Appeal to Prefecture+complete=0.17857142857142858, Add penalty+complete=0.03571428571428571, Send Appeal to Prefecture+complete=0.17857142857142858, Send Fine+complete=0.03571428571428571};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;44;267;23;0;-1.0;{Payment+complete=0.30952380952380953, Insert Date Appeal to Prefecture+complete=0.23809523809523808, Add penalty+complete=0.023809523809523808, Send Appeal to Prefecture+complete=0.23809523809523808, Notify Result Appeal to Offender+complete=0.09523809523809523, Receive Result Appeal from Prefecture+complete=0.09523809523809523};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;42;268;23;0;-1.0;{Payment+complete=0.5789473684210527, Insert Date Appeal to Prefecture+complete=0.10526315789473684, Add penalty+complete=0.05263157894736842, Send Appeal to Prefecture+complete=0.10526315789473684, Notify Result Appeal to Offender+complete=0.05263157894736842, Receive Result Appeal from Prefecture+complete=0.05263157894736842, Send Fine+complete=0.05263157894736842};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;38;268;21;0;-1.0;{Payment+complete=0.6521739130434783, Insert Date Appeal to Prefecture+complete=0.13043478260869565, Send Appeal to Prefecture+complete=0.13043478260869565, Appeal to Judge+complete=0.043478260869565216, Send Fine+complete=0.043478260869565216};NONALIGNING_ALL;{}
