delta;alpha;epsilon;k;time;logSize;variants;approximated;fitness;deviations;approximationMode;resources
0.01;0.95;0.01;0.1;3101;1039;49;5;-1.0;{Payment+complete=0.41708542713567837, Insert Date Appeal to Prefecture+complete=0.22613065326633167, Send Appeal to Prefecture+complete=0.22613065326633167, Notify Result Appeal to Offender+complete=0.04522613065326633, Receive Result Appeal from Prefecture+complete=0.04522613065326633, Appeal to Judge+complete=0.020100502512562814, Add penalty+complete=0.010050251256281407, Send Fine+complete=0.010050251256281407};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;2410;1690;57;9;-1.0;{Payment+complete=0.4959677419354839, Insert Date Appeal to Prefecture+complete=0.1814516129032258, Send Appeal to Prefecture+complete=0.1774193548387097, Send Fine+complete=0.04435483870967742, Receive Result Appeal from Prefecture+complete=0.03225806451612903, Notify Result Appeal to Offender+complete=0.028225806451612902, Add penalty+complete=0.016129032258064516, Insert Fine Notification+complete=0.016129032258064516, Appeal to Judge+complete=0.008064516129032258};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;2485;1165;47;3;-1.0;{Payment+complete=0.43231441048034935, Insert Date Appeal to Prefecture+complete=0.22270742358078602, Send Appeal to Prefecture+complete=0.22270742358078602, Notify Result Appeal to Offender+complete=0.039301310043668124, Receive Result Appeal from Prefecture+complete=0.039301310043668124, Appeal to Judge+complete=0.026200873362445413, Send Fine+complete=0.017467248908296942};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;2020;1480;51;10;-1.0;{Payment+complete=0.5107296137339056, Insert Date Appeal to Prefecture+complete=0.1759656652360515, Send Appeal to Prefecture+complete=0.1759656652360515, Send Fine+complete=0.04721030042918455, Notify Result Appeal to Offender+complete=0.02575107296137339, Receive Result Appeal from Prefecture+complete=0.02575107296137339, Add penalty+complete=0.012875536480686695, Insert Fine Notification+complete=0.012875536480686695, Appeal to Judge+complete=0.012875536480686695};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;1938;1424;55;13;-1.0;{Payment+complete=0.48880597014925375, Insert Date Appeal to Prefecture+complete=0.1828358208955224, Send Appeal to Prefecture+complete=0.1791044776119403, Notify Result Appeal to Offender+complete=0.05223880597014925, Receive Result Appeal from Prefecture+complete=0.05223880597014925, Send Fine+complete=0.026119402985074626, Appeal to Judge+complete=0.011194029850746268, Add penalty+complete=0.0037313432835820895, Insert Fine Notification+complete=0.0037313432835820895};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;3268;1101;49;2;-1.0;{Payment+complete=0.42473118279569894, Insert Date Appeal to Prefecture+complete=0.20430107526881722, Send Appeal to Prefecture+complete=0.20430107526881722, Send Fine+complete=0.05913978494623656, Receive Result Appeal from Prefecture+complete=0.03225806451612903, Appeal to Judge+complete=0.026881720430107527, Add penalty+complete=0.021505376344086023, Notify Result Appeal to Offender+complete=0.021505376344086023, Insert Fine Notification+complete=0.005376344086021506};NONALIGNING_ALL;{}
0.01;0.95;0.01;0.1;2992;1276;52;5;-1.0;{Payment+complete=0.41346153846153844, Insert Date Appeal to Prefecture+complete=0.20192307692307693, Send Appeal to Prefecture+complete=0.1971153846153846, Receive Result Appeal from Prefecture+complete=0.04807692307692308, Send Fine+complete=0.04326923076923077, Add penalty+complete=0.038461538461538464, Notify Result Appeal to Offender+complete=0.03365384615384615, Appeal to Judge+complete=0.014423076923076924, Insert Fine Notification+complete=0.009615384615384616};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;2431;953;42;4;-1.0;{Payment+complete=0.4066666666666667, Insert Date Appeal to Prefecture+complete=0.21333333333333335, Send Appeal to Prefecture+complete=0.21333333333333335, Notify Result Appeal to Offender+complete=0.05333333333333334, Receive Result Appeal from Prefecture+complete=0.05333333333333334, Add penalty+complete=0.02666666666666667, Send Fine+complete=0.02, Insert Fine Notification+complete=0.006666666666666667, Appeal to Judge+complete=0.006666666666666667};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;1191;895;43;16;-1.0;{Payment+complete=0.7682119205298014, Insert Date Appeal to Prefecture+complete=0.09271523178807947, Send Appeal to Prefecture+complete=0.08940397350993377, Receive Result Appeal from Prefecture+complete=0.016556291390728478, Send Fine+complete=0.016556291390728478, Notify Result Appeal to Offender+complete=0.013245033112582781, Appeal to Judge+complete=0.0033112582781456954};NONALIGNING_ALL;{}
0.01;0.9;0.01;0.1;3094;1012;43;4;-1.0;{Payment+complete=0.35802469135802467, Insert Date Appeal to Prefecture+complete=0.2222222222222222, Send Appeal to Prefecture+complete=0.2222222222222222, Add penalty+complete=0.07407407407407407, Appeal to Judge+complete=0.037037037037037035, Send Fine+complete=0.030864197530864196, Notify Result Appeal to Offender+complete=0.024691358024691357, Receive Result Appeal from Prefecture+complete=0.024691358024691357, Insert Fine Notification+complete=0.006172839506172839};NONALIGNING_ALL;{}
